@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveRange-V-R1-560-weka.filters.unsupervised.attribute.Remove-V-R105,63,102,99,109,65,115,114,113,112,108,107,103,106,69,62,60,38,3,5,119'

@attribute CUSR0000SAS numeric
@attribute M2SL numeric
@attribute CPIMEDSL numeric
@attribute CPIAUCSL numeric
@attribute PCEPI numeric
@attribute BOGMBASE numeric
@attribute CES3000000008 numeric
@attribute CES2000000008 numeric
@attribute CES0600000008 numeric
@attribute DSERRG3M086SBEA numeric
@attribute CUSR0000SA0L5 numeric
@attribute CUSR0000SA0L2 numeric
@attribute CUSR0000SAC numeric
@attribute CPIULFSL numeric
@attribute REALLN numeric
@attribute M1SL numeric
@attribute BUSINVx numeric
@attribute SRVPRD numeric
@attribute DPCERA3M086SBEA numeric
@attribute RETAILx numeric
@attribute UNRATE {'\'(-inf-6.266667]\'','\'(6.266667-10.533333]\'','\'(10.533333-inf)\''}

@data
-1.228543,-0.886694,-1.123671,-1.303508,-1.375365,-0.666104,-1.337476,-1.356344,-1.313553,-1.26098,-1.317791,-1.339718,-1.443164,-1.303446,-0.922152,-0.471661,-1.199873,-1.606574,-1.32798,-1.070707,'\'(-inf-6.266667]\''
-1.228543,-0.886626,-1.123102,-1.303978,-1.375639,-0.666567,-1.334741,-1.355251,-1.3111,-1.260722,-1.31903,-1.339718,-1.443164,-1.302267,-0.922086,-0.47164,-1.198796,-1.605504,-1.32657,-1.06821,'\'(-inf-6.266667]\''
-1.227649,-0.886593,-1.122534,-1.303508,-1.375151,-0.667202,-1.333374,-1.353067,-1.309873,-1.260207,-1.317791,-1.339718,-1.444853,-1.302267,-0.922044,-0.471661,-1.197377,-1.601569,-1.324361,-1.067857,'\'(-inf-6.266667]\''
-1.226756,-0.886441,-1.121966,-1.303508,-1.374876,-0.66726,-1.333374,-1.342143,-1.308646,-1.260035,-1.317791,-1.339718,-1.443164,-1.302267,-0.921993,-0.471681,-1.196327,-1.596123,-1.317154,-1.067962,'\'(-inf-6.266667]\''
-1.226756,-0.886307,-1.121397,-1.30198,-1.373167,-0.667144,-1.333374,-1.350882,-1.309873,-1.259405,-1.316552,-1.338425,-1.441475,-1.302267,-0.921967,-0.471722,-1.196314,-1.58712,-1.309212,-1.06546,'\'(-inf-6.266667]\''
-1.225862,-0.886172,-1.121397,-1.301627,-1.372679,-0.667144,-1.333374,-1.347605,-1.308646,-1.258603,-1.316552,-1.337131,-1.441475,-1.302267,-0.921972,-0.471722,-1.195536,-1.595494,-1.319749,-1.066922,'\'(-inf-6.266667]\''
-1.225862,-0.885936,-1.121397,-1.301157,-1.372465,-0.666971,-1.333374,-1.347605,-1.308646,-1.25803,-1.316552,-1.337131,-1.441475,-1.302267,-0.921989,-0.471722,-1.19525,-1.595273,-1.319877,-1.067053,'\'(-inf-6.266667]\''
-1.224968,-0.885633,-1.120829,-1.301862,-1.37161,-0.666682,-1.333374,-1.34542,-1.307419,-1.257286,-1.316552,-1.337131,-1.443164,-1.301088,-0.921984,-0.471599,-1.194732,-1.594392,-1.31882,-1.06802,'\'(-inf-6.266667]\''
-1.224968,-0.885162,-1.120829,-1.301157,-1.370817,-0.666798,-1.332007,-1.343235,-1.306192,-1.25677,-1.315313,-1.337131,-1.441475,-1.301088,-0.921959,-0.471374,-1.194977,-1.593416,-1.3193,-1.067694,'\'(-inf-6.266667]\''
-1.224074,-0.88491,-1.120261,-1.301157,-1.370542,-0.667029,-1.33064,-1.343235,-1.306192,-1.25614,-1.315313,-1.337131,-1.441475,-1.301088,-0.921927,-0.471395,-1.194759,-1.593322,-1.316866,-1.067784,'\'(-inf-6.266667]\''
-1.224074,-0.884725,-1.120261,-1.299512,-1.369993,-0.666913,-1.33064,-1.342143,-1.304966,-1.255768,-1.314074,-1.335837,-1.439786,-1.301088,-0.92188,-0.471456,-1.194868,-1.592692,-1.314368,-1.066943,'\'(-inf-6.266667]\''
-1.223181,-0.884489,-1.119692,-1.299159,-1.368375,-0.666798,-1.332007,-1.342143,-1.306192,-1.255052,-1.314074,-1.334544,-1.438097,-1.301088,-0.921879,-0.471456,-1.1948,-1.593574,-1.316162,-1.06832,'\'(-inf-6.266667]\''
-1.223181,-0.884237,-1.119124,-1.298807,-1.368283,-0.667086,-1.33064,-1.339958,-1.306192,-1.254679,-1.312836,-1.33325,-1.436408,-1.299909,-0.921804,-0.471497,-1.196341,-1.592566,-1.322503,-1.069014,'\'(6.266667-10.533333]\''
-1.222287,-0.883951,-1.119124,-1.298454,-1.368192,-0.667491,-1.33064,-1.338866,-1.304966,-1.254708,-1.312836,-1.33325,-1.438097,-1.299909,-0.921766,-0.471415,-1.196736,-1.593164,-1.321222,-1.06894,'\'(6.266667-10.533333]\''
-1.222287,-0.883547,-1.118556,-1.298454,-1.367764,-0.667895,-1.33064,-1.338866,-1.303739,-1.25425,-1.312836,-1.33325,-1.438097,-1.29873,-0.921734,-0.471313,-1.197036,-1.594298,-1.319364,-1.069277,'\'(6.266667-10.533333]\''
-1.222287,-0.883244,-1.118556,-1.298454,-1.368039,-0.667895,-1.33064,-1.336681,-1.303739,-1.254135,-1.312836,-1.33325,-1.438097,-1.29873,-0.921667,-0.471251,-1.197759,-1.591716,-1.312991,-1.068283,'\'(6.266667-10.533333]\''
-1.221393,-0.882975,-1.117988,-1.298807,-1.368314,-0.667838,-1.327906,-1.334496,-1.302512,-1.253505,-1.312836,-1.33325,-1.438097,-1.299909,-0.921651,-0.47121,-1.197759,-1.592535,-1.312735,-1.069965,'\'(6.266667-10.533333]\''
-1.221393,-0.882588,-1.117988,-1.298454,-1.368039,-0.667838,-1.326539,-1.333404,-1.301285,-1.253133,-1.312836,-1.33325,-1.438097,-1.29873,-0.921615,-0.471087,-1.197664,-1.590394,-1.309564,-1.068562,'\'(6.266667-10.533333]\''
-1.221393,-0.882234,-1.117419,-1.298454,-1.367825,-0.667606,-1.325172,-1.331219,-1.300058,-1.252503,-1.312836,-1.33325,-1.438097,-1.297551,-0.921476,-0.471046,-1.197787,-1.587372,-1.308315,-1.067857,'\'(6.266667-10.533333]\''
-1.221393,-0.882016,-1.117419,-1.297514,-1.366788,-0.667433,-1.323805,-1.333404,-1.300058,-1.251987,-1.311597,-1.331956,-1.436408,-1.297551,-0.921385,-0.471046,-1.1975,-1.583469,-1.309884,-1.067931,'\'(6.266667-10.533333]\''
-1.220499,-0.881679,-1.116851,-1.297279,-1.366391,-0.667375,-1.322438,-1.332311,-1.298831,-1.25173,-1.311597,-1.331956,-1.436408,-1.297551,-0.92132,-0.470923,-1.196886,-1.580636,-1.308026,-1.066879,'\'(6.266667-10.533333]\''
-1.220499,-0.881359,-1.116283,-1.296809,-1.365841,-0.667202,-1.325172,-1.330126,-1.298831,-1.251014,-1.311597,-1.331956,-1.436408,-1.296372,-0.921266,-0.470862,-1.196341,-1.57796,-1.30508,-1.066711,'\'(6.266667-10.533333]\''
-1.219606,-0.88109,-1.116283,-1.296809,-1.365872,-0.666971,-1.321071,-1.330126,-1.296378,-1.250727,-1.311597,-1.331956,-1.436408,-1.296372,-0.921222,-0.470801,-1.196109,-1.576103,-1.301781,-1.064971,'\'(6.266667-10.533333]\''
-1.219606,-0.880703,-1.116283,-1.296809,-1.365841,-0.666682,-1.321071,-1.326849,-1.295151,-1.250298,-1.311597,-1.331956,-1.438097,-1.296372,-0.921151,-0.470657,-1.195277,-1.573018,-1.296625,-1.064277,'\'(-inf-6.266667]\''
-1.218712,-0.88035,-1.115714,-1.296456,-1.365719,-0.66622,-1.319703,-1.325757,-1.295151,-1.249925,-1.311597,-1.331956,-1.436408,-1.296372,-0.920995,-0.470575,-1.195141,-1.570626,-1.292909,-1.06424,'\'(-inf-6.266667]\''
-1.218712,-0.880013,-1.115714,-1.296104,-1.364803,-0.666624,-1.318336,-1.32248,-1.293924,-1.249066,-1.311597,-1.330663,-1.436408,-1.295193,-0.92086,-0.470575,-1.19435,-1.568611,-1.292749,-1.063389,'\'(-inf-6.266667]\''
-1.218712,-0.879576,-1.115146,-1.295281,-1.363521,-0.667086,-1.316969,-1.331219,-1.293924,-1.248522,-1.309119,-1.329369,-1.434719,-1.295193,-0.920746,-0.470473,-1.193559,-1.564708,-1.293006,-1.063378,'\'(-inf-6.266667]\''
-1.217818,-0.879071,-1.114578,-1.294576,-1.36288,-0.666971,-1.316969,-1.323572,-1.292697,-1.247949,-1.309119,-1.328075,-1.434719,-1.294014,-0.920615,-0.470411,-1.192672,-1.561969,-1.288554,-1.061696,'\'(-inf-6.266667]\''
-1.217818,-0.878667,-1.114578,-1.294105,-1.362331,-0.66674,-1.316969,-1.320295,-1.29147,-1.247663,-1.309119,-1.328075,-1.43303,-1.294014,-0.920447,-0.470329,-1.192468,-1.556366,-1.286664,-1.061144,'\'(-inf-6.266667]\''
-1.216924,-0.878331,-1.114009,-1.293753,-1.362026,-0.666682,-1.315602,-1.323572,-1.29147,-1.246918,-1.30788,-1.328075,-1.43303,-1.292835,-0.920258,-0.470248,-1.191445,-1.55539,-1.282468,-1.06045,'\'(-inf-6.266667]\''
-1.216924,-0.878028,-1.114009,-1.294105,-1.361721,-0.666451,-1.316969,-1.32248,-1.29147,-1.246345,-1.309119,-1.328075,-1.43303,-1.292835,-0.920015,-0.470288,-1.190763,-1.552778,-1.285223,-1.061769,'\'(-inf-6.266667]\''
-1.216031,-0.877775,-1.113441,-1.293988,-1.361995,-0.66622,-1.315602,-1.319202,-1.290244,-1.24603,-1.309119,-1.329369,-1.434719,-1.292835,-0.919824,-0.470309,-1.190245,-1.551519,-1.283461,-1.060161,'\'(-inf-6.266667]\''
-1.216031,-0.877439,-1.113441,-1.293283,-1.361293,-0.666278,-1.314235,-1.319202,-1.289017,-1.245744,-1.30788,-1.328075,-1.43303,-1.292835,-0.919661,-0.470288,-1.18959,-1.548717,-1.281924,-1.059519,'\'(-inf-6.266667]\''
-1.216031,-0.877085,-1.113441,-1.291637,-1.358912,-0.66622,-1.314235,-1.31811,-1.289017,-1.245515,-1.306642,-1.325488,-1.429652,-1.291656,-0.919466,-0.47035,-1.188608,-1.54601,-1.275775,-1.059209,'\'(-inf-6.266667]\''
-1.216031,-0.876698,-1.112873,-1.292107,-1.359401,-0.666047,-1.312868,-1.31811,-1.289017,-1.245143,-1.306642,-1.325488,-1.431341,-1.291656,-0.919263,-0.470268,-1.187899,-1.543901,-1.278529,-1.057574,'\'(-inf-6.266667]\''
-1.215137,-0.876261,-1.112873,-1.292107,-1.359065,-0.66622,-1.312868,-1.315925,-1.28779,-1.244656,-1.306642,-1.325488,-1.429652,-1.291656,-0.919056,-0.470145,-1.187844,-1.542138,-1.271163,-1.057022,'\'(-inf-6.266667]\''
-1.215137,-0.875773,-1.112304,-1.292107,-1.359248,-0.665642,-1.312868,-1.31374,-1.28779,-1.244312,-1.306642,-1.325488,-1.431341,-1.291656,-0.918875,-0.470043,-1.187694,-1.541729,-1.268024,-1.057043,'\'(-inf-6.266667]\''
-1.214243,-0.875352,-1.111736,-1.291402,-1.358058,-0.666047,-1.311501,-1.314833,-1.286563,-1.243453,-1.305403,-1.325488,-1.429652,-1.291656,-0.918654,-0.46994,-1.187449,-1.540186,-1.268184,-1.056596,'\'(-inf-6.266667]\''
-1.214243,-0.874898,-1.111736,-1.290932,-1.357539,-0.666393,-1.310134,-1.31374,-1.285336,-1.243166,-1.305403,-1.324194,-1.429652,-1.291656,-0.918435,-0.469817,-1.187012,-1.535653,-1.270298,-1.057401,'\'(-inf-6.266667]\''
-1.214243,-0.874427,-1.111736,-1.29058,-1.357936,-0.666278,-1.308767,-1.311556,-1.284109,-1.242995,-1.305403,-1.324194,-1.429652,-1.290477,-0.918274,-0.469756,-1.186712,-1.532978,-1.267447,-1.056554,'\'(-inf-6.266667]\''
-1.213349,-0.873989,-1.111736,-1.290932,-1.357966,-0.666104,-1.308767,-1.315925,-1.284109,-1.242737,-1.305403,-1.325488,-1.429652,-1.290477,-0.918072,-0.469654,-1.186576,-1.528256,-1.265398,-1.056092,'\'(-inf-6.266667]\''
-1.213349,-0.873518,-1.111168,-1.29058,-1.357172,-0.665989,-1.3074,-1.312648,-1.282883,-1.24205,-1.305403,-1.324194,-1.429652,-1.290477,-0.917798,-0.46951,-1.185962,-1.528886,-1.265045,-1.05677,'\'(-inf-6.266667]\''
-1.212456,-0.873131,-1.110599,-1.289404,-1.356104,-0.6657,-1.306032,-1.310463,-1.281656,-1.24182,-1.304164,-1.322901,-1.427963,-1.289298,-0.917425,-0.46951,-1.185321,-1.526651,-1.259569,-1.055976,'\'(-inf-6.266667]\''
-1.212456,-0.872677,-1.110599,-1.288464,-1.355127,-0.665353,-1.304665,-1.309371,-1.280429,-1.241448,-1.302925,-1.321607,-1.426274,-1.288119,-0.917148,-0.469326,-1.184735,-1.524038,-1.256622,-1.05473,'\'(-inf-6.266667]\''
-1.211562,-0.872256,-1.110031,-1.287759,-1.354456,-0.665469,-1.306032,-1.307186,-1.280429,-1.241133,-1.302925,-1.320313,-1.424585,-1.288119,-0.91694,-0.469223,-1.184067,-1.520827,-1.254572,-1.054867,'\'(-inf-6.266667]\''
-1.211562,-0.871852,-1.110031,-1.288111,-1.354547,-0.665296,-1.303298,-1.307186,-1.279202,-1.240732,-1.302925,-1.321607,-1.426274,-1.288119,-0.916732,-0.469182,-1.183303,-1.516987,-1.255661,-1.055135,'\'(-inf-6.266667]\''
-1.211562,-0.871465,-1.110031,-1.287759,-1.353601,-0.66518,-1.303298,-1.306094,-1.279202,-1.239902,-1.302925,-1.321607,-1.426274,-1.28694,-0.916533,-0.46906,-1.182266,-1.511604,-1.255982,-1.053253,'\'(-inf-6.266667]\''
-1.210668,-0.870927,-1.109463,-1.287406,-1.352899,-0.664776,-1.301931,-1.307186,-1.277975,-1.239386,-1.301686,-1.320313,-1.424585,-1.28694,-0.916327,-0.468855,-1.181721,-1.510565,-1.25169,-1.054493,'\'(-inf-6.266667]\''
-1.209774,-0.870641,-1.109463,-1.286231,-1.352167,-0.66414,-1.300564,-1.300632,-1.276748,-1.239071,-1.300447,-1.31902,-1.422896,-1.285761,-0.916161,-0.468916,-1.181666,-1.508393,-1.244772,-1.052101,'\'(-inf-6.266667]\''
-1.209774,-0.870304,-1.108895,-1.285526,-1.351129,-0.664544,-1.300564,-1.301724,-1.276748,-1.238613,-1.300447,-1.31902,-1.422896,-1.285761,-0.915918,-0.468834,-1.18093,-1.501688,-1.242882,-1.05268,'\'(-inf-6.266667]\''
-1.209774,-0.8699,-1.108895,-1.285878,-1.350427,-0.664949,-1.300564,-1.305001,-1.276748,-1.237897,-1.300447,-1.31902,-1.422896,-1.285761,-0.915636,-0.468711,-1.180412,-1.498478,-1.238719,-1.05217,'\'(-inf-6.266667]\''
-1.209774,-0.86953,-1.108895,-1.285526,-1.350121,-0.664776,-1.300564,-1.302817,-1.275522,-1.237324,-1.300447,-1.31902,-1.422896,-1.284582,-0.915438,-0.46867,-1.179839,-1.49448,-1.236637,-1.051365,'\'(-inf-6.266667]\''
-1.208881,-0.86921,-1.108326,-1.285408,-1.349755,-0.664602,-1.29783,-1.299539,-1.274295,-1.236894,-1.300447,-1.31902,-1.422896,-1.284582,-0.915262,-0.468609,-1.179061,-1.493882,-1.23558,-1.05044,'\'(-inf-6.266667]\''
-1.208881,-0.86879,-1.108326,-1.285056,-1.349694,-0.664487,-1.29783,-1.301724,-1.274295,-1.236322,-1.300447,-1.31902,-1.422896,-1.284582,-0.915082,-0.468507,-1.17853,-1.48979,-1.227317,-1.048915,'\'(-inf-6.266667]\''
-1.207987,-0.868302,-1.107758,-1.284703,-1.348992,-0.66414,-1.296463,-1.300632,-1.273068,-1.235892,-1.299209,-1.317726,-1.422896,-1.284582,-0.914926,-0.468445,-1.177889,-1.487334,-1.223858,-1.048826,'\'(-inf-6.266667]\''
-1.207987,-0.867797,-1.107758,-1.284586,-1.348351,-0.663851,-1.296463,-1.298447,-1.271841,-1.235491,-1.299209,-1.317726,-1.422896,-1.283403,-0.914698,-0.468199,-1.177575,-1.483085,-1.219374,-1.048258,'\'(-inf-6.266667]\''
-1.207987,-0.867242,-1.10719,-1.284233,-1.347985,-0.663851,-1.295096,-1.297355,-1.270614,-1.234632,-1.299209,-1.317726,-1.422896,-1.283403,-0.914495,-0.467994,-1.177057,-1.478772,-1.215691,-1.046639,'\'(-inf-6.266667]\''
-1.207987,-0.866653,-1.10719,-1.28388,-1.347222,-0.663562,-1.292362,-1.298447,-1.269387,-1.234317,-1.29797,-1.316432,-1.421207,-1.283403,-0.914286,-0.46781,-1.175475,-1.474019,-1.218253,-1.04554,'\'(-inf-6.266667]\''
-1.207093,-0.866283,-1.10719,-1.28341,-1.346916,-0.663389,-1.29783,-1.294077,-1.271841,-1.23383,-1.29797,-1.316432,-1.421207,-1.283403,-0.914102,-0.467708,-1.175488,-1.470556,-1.214249,-1.050093,'\'(-inf-6.266667]\''
-1.206199,-0.865795,-1.106621,-1.282352,-1.346214,-0.663042,-1.295096,-1.296262,-1.270614,-1.233458,-1.29797,-1.316432,-1.419518,-1.282224,-0.913916,-0.467544,-1.174465,-1.466716,-1.219854,-1.049031,'\'(-inf-6.266667]\''
-1.206199,-0.86534,-1.106621,-1.281882,-1.345482,-0.662522,-1.292362,-1.292985,-1.268161,-1.232971,-1.296731,-1.315139,-1.417829,-1.282224,-0.913656,-0.467482,-1.173456,-1.463001,-1.213929,-1.043716,'\'(-inf-6.266667]\''
-1.205305,-0.864869,-1.106621,-1.28153,-1.344932,-0.662869,-1.290994,-1.29517,-1.268161,-1.232455,-1.295492,-1.315139,-1.417829,-1.281045,-0.913439,-0.4674,-1.172147,-1.459885,-1.209541,-1.042838,'\'(-inf-6.266667]\''
-1.204412,-0.864381,-1.106053,-1.28153,-1.344719,-0.663216,-1.289627,-1.287523,-1.26448,-1.23194,-1.295492,-1.313845,-1.419518,-1.281045,-0.913244,-0.46736,-1.171424,-1.454376,-1.199613,-1.042076,'\'(-inf-6.266667]\''
-1.204412,-0.86391,-1.105485,-1.281177,-1.344078,-0.6631,-1.28826,-1.286431,-1.263253,-1.231596,-1.295492,-1.313845,-1.417829,-1.279866,-0.912993,-0.467237,-1.169665,-1.450379,-1.197659,-1.04328,'\'(-inf-6.266667]\''
-1.203518,-0.86354,-1.105485,-1.280354,-1.343284,-0.662869,-1.28826,-1.289708,-1.26448,-1.231138,-1.294253,-1.313845,-1.417829,-1.279866,-0.912731,-0.467134,-1.168833,-1.443107,-1.193143,-1.04227,'\'(-inf-6.266667]\''
