@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveRange-V-R1-560-weka.filters.unsupervised.attribute.Remove-V-R24,27,29,26,30,31,33,99,102,109,62,63,65,68,69,6,5,9,82,83,86'

@attribute UEMPMEAN {'\'(-inf-14.9]\'','\'(14.9-27.8]\'','\'(27.8-inf)\''}
@attribute UEMP15OV numeric
@attribute UEMP27OV numeric
@attribute UEMP5TO14 numeric
@attribute CLAIMSx numeric
@attribute PAYEMS numeric
@attribute CES1021000001 numeric
@attribute CPIAUCSL numeric
@attribute CPIMEDSL numeric
@attribute PCEPI numeric
@attribute M1SL numeric
@attribute M2SL numeric
@attribute BOGMBASE numeric
@attribute BUSLOANS numeric
@attribute REALLN numeric
@attribute INDPRO numeric
@attribute RETAILx numeric
@attribute IPCONGD numeric
@attribute AAA numeric
@attribute BAA numeric
@attribute T10YFFM numeric

@data
'\'(14.9-27.8]\'',-0.564639,-0.48465,-0.921071,-0.203923,-1.674424,-0.202936,-1.296809,-1.116283,-1.365872,-0.470801,-0.88109,-0.666971,-1.024149,-0.921222,-1.615402,-1.064971,-1.869762,-0.868212,-0.897383,0.423964
'\'(14.9-27.8]\'',-0.616255,-0.527048,-0.942365,-0.213635,-1.667481,-0.199276,-1.296809,-1.116283,-1.365841,-0.470657,-0.880703,-0.666682,-1.023957,-0.921151,-1.601471,-1.064277,-1.843443,-0.879401,-0.904255,0.216907
'\'(14.9-27.8]\'',-0.63124,-0.548246,-1.047715,-0.276054,-1.663378,-0.227095,-1.296456,-1.115714,-1.365719,-0.470575,-0.88035,-0.66622,-1.023133,-0.920995,-1.593514,-1.06424,-1.840154,-0.868212,-0.907691,0.467885
'\'(14.9-27.8]\'',-0.70117,-0.596701,-1.063405,-0.257738,-1.662778,-0.227827,-1.296104,-1.115714,-1.364803,-0.470575,-0.880013,-0.666624,-1.022903,-0.92086,-1.601475,-1.063389,-1.851669,-0.868212,-0.914563,0.593374
'\'(14.9-27.8]\'',-0.696175,-0.589887,-1.111597,-0.286463,-1.653404,-0.234415,-1.295281,-1.115146,-1.363521,-0.470473,-0.879576,-0.667086,-1.023048,-0.920746,-1.586548,-1.063378,-1.841798,-0.868212,-0.917999,0.430238
'\'(14.9-27.8]\'',-0.741686,-0.6232,-1.188928,-0.309866,-1.650658,-0.251253,-1.294576,-1.114578,-1.36288,-0.470411,-0.879071,-0.666971,-1.02276,-0.920615,-1.581574,-1.061696,-1.830283,-0.879401,-0.928307,0.060046
'\'(-inf-14.9]\'',-0.763886,-0.635313,-1.126166,-0.324647,-1.640337,-0.273215,-1.294105,-1.114578,-1.362331,-0.470329,-0.878667,-0.66674,-1.022218,-0.920447,-1.579587,-1.061144,-1.817124,-0.901778,-0.935179,0.047498
'\'(14.9-27.8]\'',-0.757226,-0.632285,-1.097027,-0.234172,-1.639517,-0.281268,-1.293753,-1.114009,-1.362026,-0.470248,-0.878331,-0.666682,-1.021845,-0.920258,-1.580582,-1.06045,-1.808898,-0.920425,-0.942051,0.329847
'\'(14.9-27.8]\'',-0.787751,-0.673169,-1.130649,-0.205709,-1.639012,-0.330317,-1.294105,-1.114009,-1.361721,-0.470288,-0.878028,-0.666451,-1.020978,-0.920015,-1.58257,-1.061769,-1.818768,-0.920425,-0.935179,0.154163
'\'(-inf-14.9]\'',-0.804401,-0.679225,-1.084699,-0.218933,-1.635792,-0.382294,-1.293988,-1.113441,-1.361995,-0.470309,-0.877775,-0.66622,-1.02075,-0.919824,-1.573617,-1.060161,-1.79245,-0.898048,-0.924871,0.198084
'\'(-inf-14.9]\'',-0.786641,-0.655755,-0.977108,-0.21017,-1.632889,-0.342762,-1.293283,-1.113441,-1.361293,-0.470288,-0.877439,-0.666278,-1.020507,-0.919661,-1.572622,-1.059519,-1.810546,-0.894319,-0.921435,0.041223
'\'(-inf-14.9]\'',-0.778316,-0.706481,-1.028662,-0.232755,-1.62847,-0.364724,-1.291637,-1.113441,-1.358912,-0.47035,-0.877085,-0.66622,-1.01995,-0.919466,-1.566652,-1.059209,-1.800676,-0.905507,-0.931743,0.060046
'\'(-inf-14.9]\'',-0.819387,-0.723895,-1.082458,-0.215468,-1.626482,-0.382294,-1.292107,-1.112873,-1.359401,-0.470268,-0.876698,-0.666047,-1.019362,-0.919263,-1.565656,-1.057574,-1.803965,-0.920425,-0.945487,0.028674
'\'(-inf-14.9]\'',-0.803291,-0.773863,-1.158668,-0.239642,-1.626008,-0.431343,-1.292107,-1.112873,-1.359065,-0.470145,-0.876261,-0.66622,-1.018928,-0.919056,-1.561678,-1.057022,-1.794094,-0.931614,-0.955794,-0.002698
'\'(-inf-14.9]\'',-0.793856,-0.720866,-1.052198,-0.194964,-1.626892,-0.456966,-1.292107,-1.112304,-1.359248,-0.470043,-0.875773,-0.665642,-1.018634,-0.918875,-1.561678,-1.057043,-1.787516,-0.935343,-0.969538,-0.03407
'\'(-inf-14.9]\'',-0.763886,-0.695125,-0.960297,-0.221785,-1.624146,-0.468679,-1.291402,-1.111736,-1.358058,-0.46994,-0.875352,-0.666047,-1.018356,-0.918654,-1.554716,-1.056596,-1.767779,-0.946532,-0.972974,-0.046619
'\'(-inf-14.9]\'',-0.755561,-0.654998,-0.926675,-0.26767,-1.620516,-0.470143,-1.290932,-1.111736,-1.357539,-0.469817,-0.874898,-0.666393,-1.01815,-0.918435,-1.543768,-1.057401,-1.749683,-0.953991,-0.979846,-0.040345
'\'(-inf-14.9]\'',-0.783311,-0.653484,-0.945728,-0.302782,-1.617676,-0.461358,-1.29058,-1.111736,-1.357936,-0.469756,-0.874427,-0.666278,-1.017971,-0.918274,-1.537802,-1.056554,-1.743105,-0.953991,-0.983282,-0.021521
'\'(-inf-14.9]\'',-0.792191,-0.659541,-0.990557,-0.275643,-1.60947,-0.432807,-1.290932,-1.111736,-1.357966,-0.469654,-0.873989,-0.666104,-1.017454,-0.918072,-1.528846,-1.056092,-1.736523,-0.946532,-0.986718,0.053772
'\'(-inf-14.9]\'',-0.744461,-0.648941,-1.064526,-0.289357,-1.608333,-0.422558,-1.29058,-1.111168,-1.357172,-0.46951,-0.873518,-0.665989,-1.017136,-0.917798,-1.51691,-1.05677,-1.733234,-0.942802,-0.99359,-0.03407
'\'(-inf-14.9]\'',-0.794411,-0.728437,-0.953573,-0.302492,-1.606976,-0.410113,-1.289404,-1.110599,-1.356104,-0.46951,-0.873131,-0.6657,-1.016397,-0.917425,-1.513923,-1.055976,-1.723364,-0.939073,-0.997026,0.009851
'\'(-inf-14.9]\'',-0.792746,-0.692096,-0.919951,-0.334031,-1.602715,-0.414505,-1.288464,-1.110599,-1.355127,-0.469326,-0.872677,-0.665353,-1.016125,-0.917148,-1.517906,-1.05473,-1.728301,-0.927884,-0.997026,0.009851
'\'(-inf-14.9]\'',-0.768326,-0.712538,-1.075733,-0.288848,-1.599054,-0.420362,-1.287759,-1.110031,-1.354456,-0.469223,-0.872256,-0.665469,-1.016112,-0.91694,-1.515915,-1.054867,-1.715142,-0.916696,-1.000462,-0.297597
'\'(-inf-14.9]\'',-0.793301,-0.683768,-0.991678,-0.293926,-1.593752,-0.428415,-1.288111,-1.110031,-1.354547,-0.469182,-0.871852,-0.665296,-1.015685,-0.916732,-1.505966,-1.055135,-1.710204,-0.909237,-0.997026,-0.241127
'\'(-inf-14.9]\'',-0.792191,-0.705724,-1.061164,-0.307332,-1.587281,-0.432807,-1.287759,-1.110031,-1.353601,-0.46906,-0.871465,-0.66518,-1.014957,-0.916533,-1.499001,-1.053253,-1.698689,-0.905507,-1.000462,-0.234852
'\'(-inf-14.9]\'',-0.801626,-0.712538,-0.989436,-0.333246,-1.588165,-0.446717,-1.287406,-1.109463,-1.352899,-0.468855,-0.870927,-0.664776,-1.013934,-0.916327,-1.494027,-1.054493,-1.697045,-0.901778,-0.997026,-0.216029
'\'(-inf-14.9]\'',-0.827712,-0.736008,-1.005127,-0.238282,-1.58482,-0.435004,-1.286231,-1.109463,-1.352167,-0.468916,-0.870641,-0.66414,-1.012777,-0.916161,-1.496018,-1.052101,-1.687179,-0.894319,-0.99359,-0.14701
'\'(-inf-14.9]\'',-0.799961,-0.725409,-1.069009,-0.345581,-1.580843,-0.457698,-1.285526,-1.108895,-1.351129,-0.468834,-0.870304,-0.664544,-1.012474,-0.915918,-1.487065,-1.05268,-1.670726,-0.879401,-1.000462,-0.184657
'\'(-inf-14.9]\'',-0.823272,-0.73828,-1.001764,-0.41716,-1.572447,-0.456966,-1.285878,-1.108895,-1.350427,-0.468711,-0.8699,-0.664949,-1.012314,-0.915636,-1.4801,-1.05217,-1.674019,-0.890589,-1.000462,-0.197206
'\'(-inf-14.9]\'',-0.809951,-0.724652,-1.104872,-0.350435,-1.567902,-0.456966,-1.285526,-1.108895,-1.350121,-0.46867,-0.86953,-0.664776,-1.012109,-0.915438,-1.4801,-1.051365,-1.682241,-0.88313,-1.000462,-0.121912
'\'(-inf-14.9]\'',-0.868227,-0.75115,-1.028662,-0.413195,-1.567113,-0.454769,-1.285408,-1.108326,-1.349755,-0.468609,-0.86921,-0.664602,-1.011472,-0.915262,-1.463186,-1.05044,-1.639474,-0.875671,-0.99359,-0.140736
'\'(-inf-14.9]\'',-0.845472,-0.725409,-1.138494,-0.396109,-1.561842,-0.469411,-1.285056,-1.108326,-1.349694,-0.468507,-0.86879,-0.664487,-1.010835,-0.915082,-1.457217,-1.048915,-1.626315,-0.871942,-0.99359,-0.178382
'\'(-inf-14.9]\'',-0.805511,-0.72238,-1.121683,-0.423585,-1.557739,-0.441592,-1.284703,-1.107758,-1.348992,-0.468445,-0.868302,-0.66414,-1.010155,-0.914926,-1.454234,-1.048826,-1.629608,-0.871942,-0.99359,-0.197206
'\'(-inf-14.9]\'',-0.830487,-0.711024,-1.118321,-0.458346,-1.551648,-0.452573,-1.284586,-1.107758,-1.348351,-0.468199,-0.867797,-0.663851,-1.009633,-0.914698,-1.447268,-1.048258,-1.604933,-0.875671,-1.000462,-0.134461
'\'(-inf-14.9]\'',-0.868227,-0.72238,-1.160909,-0.504994,-1.545114,-0.461358,-1.284233,-1.10719,-1.347985,-0.467994,-0.867242,-0.663851,-1.009153,-0.914495,-1.440307,-1.046639,-1.608222,-0.871942,-1.003898,-0.184657
'\'(-inf-14.9]\'',-0.877662,-0.758721,-1.135132,-0.468297,-1.536151,-0.437932,-1.28388,-1.10719,-1.347222,-0.46781,-0.866653,-0.663562,-1.008324,-0.914286,-1.436324,-1.04554,-1.627959,-0.868212,-1.003898,-0.14701
'\'(-inf-14.9]\'',-0.885432,-0.779163,-1.182203,-0.44783,-1.539623,-0.421094,-1.28341,-1.10719,-1.346916,-0.467708,-0.866283,-0.663389,-1.007686,-0.914102,-1.451247,-1.050093,-1.662504,-0.868212,-1.007334,-0.096815
'\'(-inf-14.9]\'',-0.874887,-0.775378,-1.191169,-0.389381,-1.526209,-0.403524,-1.282352,-1.106621,-1.346214,-0.467544,-0.865795,-0.663042,-1.006978,-0.913916,-1.418419,-1.049031,-1.598352,-0.864483,-1.007334,-0.222303
'\'(-inf-14.9]\'',-0.902082,-0.782192,-1.179962,-0.469756,-1.519802,-0.407917,-1.281882,-1.106621,-1.345482,-0.467482,-0.86534,-0.662522,-1.005141,-0.913656,-1.405484,-1.043716,-1.562162,-0.860753,-1.007334,-0.410537
'\'(-inf-14.9]\'',-0.946483,-0.812476,-1.140736,-0.541709,-1.51472,-0.407185,-1.28153,-1.106621,-1.344932,-0.4674,-0.864869,-0.662869,-1.004037,-0.913439,-1.393548,-1.042838,-1.535848,-0.864483,-1.01077,-0.435634
'\'(-inf-14.9]\'',-0.876552,-0.795062,-1.142977,-0.524357,-1.50784,-0.406453,-1.28153,-1.106053,-1.344719,-0.46736,-0.864381,-0.663216,-1.003013,-0.913244,-1.386583,-1.042076,-1.53091,-0.871942,-1.017642,-0.473281
'\'(-inf-14.9]\'',-0.944818,-0.835189,-1.211342,-0.538614,-1.501432,-0.429879,-1.281177,-1.105485,-1.344078,-0.467237,-0.86391,-0.6631,-1.001678,-0.912993,-1.37166,-1.04328,-1.514462,-0.868212,-1.017642,-0.510928
'\'(-inf-14.9]\'',-0.944818,-0.828375,-1.223671,-0.544318,-1.493353,-0.433539,-1.280354,-1.105485,-1.343284,-0.467134,-0.86354,-0.662869,-1.000461,-0.912731,-1.366686,-1.04227,-1.519395,-0.864483,-1.01077,-0.548574
'\'(-inf-14.9]\'',-0.978118,-0.841246,-1.195652,-0.57135,-1.48603,-0.435004,-1.279179,-1.104916,-1.342155,-0.467196,-0.863254,-0.662811,-0.999481,-0.912502,-1.357733,-1.040393,-1.507884,-0.860753,-1.007334,-0.548574
'\'(-inf-14.9]\'',-0.950368,-0.827618,-1.233757,-0.567637,-1.479749,-0.45843,-1.277651,-1.104916,-1.340689,-0.467093,-0.862749,-0.662465,-0.997965,-0.912245,-1.348777,-1.041129,-1.502947,-0.853294,-0.99359,-0.510928
