@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.instance.RemoveRange-R1-560-weka.filters.unsupervised.attribute.Remove-V-R24,27,29,26,30,31,33,99,102,109,62,63,65,68,69,6,5,9,82,83,86,119'

@attribute UEMPMEAN {'\'(-inf-14.9]\'','\'(14.9-27.8]\'','\'(27.8-inf)\''}
@attribute UEMP15OV numeric
@attribute UEMP27OV numeric
@attribute UEMP5TO14 numeric
@attribute CLAIMSx numeric
@attribute PAYEMS numeric
@attribute CES1021000001 numeric
@attribute CPIAUCSL numeric
@attribute CPIMEDSL numeric
@attribute PCEPI numeric
@attribute M1SL numeric
@attribute M2SL numeric
@attribute BOGMBASE numeric
@attribute BUSLOANS numeric
@attribute REALLN numeric
@attribute INDPRO numeric
@attribute RETAILx numeric
@attribute IPCONGD numeric
@attribute AAA numeric
@attribute BAA numeric
@attribute T10YFFM numeric
@attribute UNRATE {'\'(-inf-6.266667]\'','\'(6.266667-10.533333]\'','\'(10.533333-inf)\''}

@data
'\'(14.9-27.8]\'',-0.113975,-0.118211,0.152595,-0.17676,0.919067,-0.309087,0.746098,0.673898,0.752006,-0.219217,0.228504,-0.228067,0.347633,0.835104,1.165221,0.682841,1.348591,-0.398296,-0.395733,-0.849747,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.148385,-0.164395,-0.063707,-0.167642,0.92336,-0.283464,0.734345,0.679581,0.745199,-0.220855,0.233098,-0.227663,0.346412,0.850712,1.158555,0.672155,1.327159,-0.461697,-0.450708,-0.950138,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.242181,-0.290831,-0.00767,-0.170915,0.923896,-0.2432,0.723768,0.684696,0.739094,-0.219647,0.24141,-0.228009,0.358852,0.93559,1.154791,0.671083,1.321316,-0.461697,-0.454144,-0.943864,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.188346,-0.250705,0.11449,-0.120649,0.930682,-0.23588,0.724943,0.689243,0.73998,-0.219544,0.247384,-0.223965,0.369483,0.95175,1.153807,0.676732,1.329729,-0.528828,-0.529735,-1.025432,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.230526,-0.279475,-0.070431,-0.13117,0.936616,-0.208061,0.737871,0.691516,0.749167,-0.220405,0.254602,-0.218246,0.38509,0.971772,1.191416,0.698947,1.353184,-0.532558,-0.522863,-1.044255,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.190011,-0.243134,0.176131,-0.162732,0.943654,-0.192687,0.741832,0.705036,0.757836,-0.21936,0.261013,-0.220383,0.397649,0.984887,1.17817,0.695942,1.325939,-0.502722,-0.481632,-0.92504,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.159486,-0.161366,0.065178,-0.137015,0.946369,-0.157548,0.751105,0.715101,0.765925,-0.221142,0.263722,-0.222116,0.413104,1.000653,1.213774,0.699877,1.378755,-0.506451,-0.502247,-0.956413,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.135065,-0.164395,0.031556,-0.199439,0.953439,-0.124604,0.763587,0.718221,0.775479,-0.220425,0.269427,-0.221597,0.426247,0.967248,1.220384,0.714875,1.341686,-0.540017,-0.505683,-1.056804,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.120635,-0.193922,0.076385,-0.148705,0.955427,-0.081412,0.770827,0.726297,0.781645,-0.21807,0.281626,-0.220383,0.439463,0.982895,1.245444,0.710417,1.365829,-0.476615,-0.464452,-0.968962,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.148385,-0.249947,0.081989,-0.22352,0.960098,-0.064574,0.780828,0.732952,0.789276,-0.217476,0.283965,-0.218823,0.461744,0.993943,1.247465,0.734053,1.347435,-0.476615,-0.464452,-0.931315,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.120635,-0.241619,0.027073,-0.172318,0.962497,-0.047005,0.786458,0.73876,0.794862,-0.220077,0.289552,-0.217957,0.48583,1.003856,1.248493,0.719155,1.354276,-0.357272,-0.357937,-0.71171,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.07457,-0.129568,0.104404,-0.181436,0.961708,-0.012597,0.790795,0.751297,0.798891,-0.21934,0.294751,-0.216975,0.507543,1.014774,1.242594,0.727182,1.338091,-0.379648,-0.375117,-0.780728,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.091775,-0.163638,0.051729,-0.149874,0.960729,-0.000884,0.791547,0.760714,0.800692,-0.218418,0.307556,-0.21657,0.539817,1.02746,1.249959,0.737142,1.328833,-0.357272,-0.375117,-0.837198,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.079565,-0.15001,0.204149,-0.180735,0.963507,-0.005276,0.80189,0.767278,0.810887,-0.218541,0.310619,-0.217841,0.592388,1.045965,1.259156,0.744991,1.324001,-0.375919,-0.395733,-0.881119,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.11009,-0.124268,0.439504,-0.111297,0.965906,0.004973,0.809447,0.777575,0.818945,-0.217783,0.31316,-0.216917,0.622841,1.077204,1.24812,0.756195,1.281672,-0.405755,-0.433528,-0.761905,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.07346,-0.066728,0.146992,-0.075058,0.969504,0.041576,0.828769,0.785571,0.833078,-0.21934,0.317434,-0.213855,0.646178,1.093781,1.269293,0.774244,1.280172,-0.487804,-0.461016,-0.830924,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.001466,-0.104584,0.298291,-0.018012,0.972786,0.075984,0.83595,0.792153,0.839274,-0.219012,0.322549,-0.212179,0.675828,1.100716,1.271503,0.75226,1.266728,-0.469156,-0.375117,-0.705435,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.023111,-0.056129,0.331913,-0.062199,0.97266,0.123569,0.844518,0.80099,0.846051,-0.218131,0.328203,-0.215993,0.704872,1.109291,1.266799,0.756435,1.256437,-0.528828,-0.412912,-0.743082,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.029059,-0.100798,0.291567,-0.024792,0.97064,0.139674,0.850547,0.802621,0.851423,-0.217578,0.342741,-0.216628,0.714952,1.118156,1.252968,0.739493,1.24923,-0.454238,-0.316705,-0.140736,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.004084,-0.105341,0.47873,0.053063,0.968431,0.190919,0.859491,0.807071,0.859145,-0.215878,0.353864,-0.214606,0.741643,1.128419,1.240947,0.744918,1.18379,-0.461697,-0.292654,-0.052894,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.104697,-0.068243,0.520197,0.034827,0.961518,0.190919,0.865297,0.810134,0.864151,-0.215325,0.361015,-0.216224,0.765267,1.13567,1.21521,0.743099,1.155674,-0.446779,-0.265166,0.260828,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.156312,0.07485,0.410365,0.068961,0.955616,0.265591,0.880177,0.813464,0.875781,-0.214915,0.363152,-0.213624,0.766837,1.129977,1.192197,0.76107,1.128658,-0.43932,-0.27891,0.57455,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.230128,0.086207,1.015564,0.145881,0.950787,0.310979,0.90668,0.819221,0.89553,-0.212621,0.366299,-0.210446,0.7757,1.122513,1.182545,0.764577,1.118541,-0.398296,-0.230806,0.700039,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.341684,0.152832,0.810469,0.214851,0.944475,0.327085,0.924932,0.821978,0.908289,-0.209242,0.374258,-0.206518,0.792535,1.118055,1.165765,0.757616,1.089928,-0.402025,-0.199883,0.637295,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.511516,0.305767,0.726413,0.378509,0.935417,0.402488,0.921101,0.826643,0.906061,-0.212048,0.376715,-0.206171,0.794713,1.118634,1.107648,0.742028,1.010169,-0.413214,-0.203319,0.568276,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.625847,0.427661,1.036858,0.523464,0.921245,0.429575,0.923298,0.831554,0.90835,-0.200865,0.387921,-0.170294,0.81616,1.139603,0.948819,0.712659,0.979511,-0.409484,-0.148343,0.562001,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.827868,0.619208,1.059272,0.576068,0.906443,0.406881,0.901179,0.835469,0.890158,-0.198448,0.405186,-0.039322,0.884679,1.228801,0.983642,0.645488,0.991201,-0.174526,0.391103,1.164348,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',0.790683,0.573025,1.289024,0.784382,0.882771,0.371741,0.856024,0.840749,0.857863,-0.190091,0.413935,0.137407,0.871022,1.229846,0.937867,0.574214,0.954387,-0.234198,0.504489,1.352581,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',1.137006,0.869052,1.555759,0.991059,0.860804,0.332941,0.835398,0.848074,0.842754,-0.172251,0.443837,0.266877,0.850296,1.225414,0.840342,0.533814,0.865623,-0.633254,0.236484,0.80043,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',1.257442,0.936434,1.73956,1.028467,0.836532,0.267787,0.841686,0.854189,0.843059,-0.176122,0.458039,0.293221,0.833246,1.215662,0.756869,0.560048,0.76554,-0.633254,0.136841,0.869449,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',1.640951,1.163566,2.046642,1.365136,0.812514,0.174814,0.850759,0.860037,0.847882,-0.179317,0.46312,0.206388,0.818305,1.229168,0.737321,0.552674,0.768723,-0.551205,0.116226,1.045133,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',1.880158,1.36117,2.2551,1.436444,0.786475,0.049629,0.848291,0.864879,0.844921,-0.176921,0.474411,0.255842,0.791753,1.229288,0.686465,0.522668,0.745073,-0.465427,0.233048,1.038859,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',2.157105,1.733665,2.273031,1.289151,0.765297,-0.066771,0.850806,0.872677,0.848767,-0.170223,0.475202,0.317024,0.767041,1.237656,0.66135,0.531494,0.73309,-0.506451,0.222741,1.126701,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',2.510644,1.900985,2.631667,1.215505,0.754155,-0.186831,0.854485,0.879962,0.851575,-0.169015,0.484978,0.329676,0.739839,1.259097,0.630014,0.545541,0.679356,-0.450509,0.109354,1.333757,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',2.962973,2.185656,2.176648,1.151211,0.739605,-0.241736,0.875264,0.884611,0.867601,-0.160555,0.486661,0.276872,0.699135,1.248935,0.620058,0.572798,0.661259,-0.424402,-0.08306,1.584735,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',2.964083,2.615691,1.563604,1.002749,0.728716,-0.301034,0.874512,0.889294,0.867906,-0.159798,0.487385,0.271036,0.648328,1.236598,0.657464,0.580339,0.714959,-0.498992,-0.223935,1.515716,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',2.957978,2.706543,2.036556,0.968615,0.722719,-0.374241,0.882962,0.895489,0.875781,-0.16031,0.4873,0.292528,0.609012,1.222618,0.692772,0.611254,0.752623,-0.554935,-0.399169,1.534539,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',3.276551,3.05254,1.866204,0.913906,0.715618,-0.388151,0.887851,0.902695,0.880176,-0.159306,0.487048,0.344755,0.577189,1.195259,0.720263,0.566376,0.788732,-0.603418,-0.49194,1.4216,'\'(6.266667-10.533333]\''
'\'(14.9-27.8]\'',3.413082,3.165348,1.616279,0.810567,0.709779,-0.427683,0.895467,0.907991,0.890524,-0.156684,0.491473,0.422807,0.540025,1.181624,0.72762,0.585173,0.798794,-0.595959,-0.498811,1.434148,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.472467,3.365981,1.509809,0.663742,0.709653,-0.404989,0.903988,0.914578,0.897361,-0.155599,0.496387,0.473821,0.518038,1.217925,0.740866,0.599418,0.774073,-0.581041,-0.488504,1.440423,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.516868,3.528001,1.509809,0.623997,0.701762,-0.405721,0.905316,0.918335,0.898949,-0.153591,0.495579,0.474745,0.487303,1.2014,0.752029,0.606812,0.769169,-0.554935,-0.471324,1.559637,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.549613,3.677151,1.434719,0.597344,0.701573,-0.37717,0.906973,0.927604,0.904962,-0.157299,0.489774,0.45672,0.454641,1.191076,0.787162,0.608678,0.797209,-0.554935,-0.512555,1.653754,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.565153,3.533301,1.434719,0.625166,0.698511,-0.333977,0.904541,0.936504,0.904901,-0.152158,0.49812,0.526163,0.435999,1.169974,0.798817,0.611223,0.762018,-0.521369,-0.481632,1.616107,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.656729,3.848256,1.327129,0.552689,0.703561,-0.284928,0.905387,0.944483,0.908777,-0.149679,0.497464,0.505596,0.41911,1.160593,0.82217,0.649862,0.776902,-0.551205,-0.505683,1.622382,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.680594,4.041318,1.094015,0.546844,0.71161,-0.248325,0.905974,0.949467,0.910273,-0.152322,0.502747,0.467928,0.415788,1.165942,0.834202,0.66499,0.743496,-0.543746,-0.512555,1.672577,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.551278,3.918667,1.139965,0.501954,0.728117,-0.17951,0.904646,0.952337,0.911158,-0.150048,0.511868,0.466715,0.402593,1.158087,0.880121,0.649256,0.820273,-0.66682,-0.581275,1.402776,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.556828,3.90731,1.175829,0.507098,0.723887,-0.139246,0.903577,0.958554,0.909998,-0.145644,0.515082,0.460995,0.394621,1.148267,0.887593,0.647469,0.810619,-0.696655,-0.519427,1.277287,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.449712,3.818729,0.966251,0.501019,0.72092,-0.087269,0.908349,0.958185,0.912349,-0.147201,0.517,0.456315,0.39318,1.136044,0.900606,0.653196,0.837316,-0.756327,-0.595018,1.158073,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.287096,3.631725,1.596106,0.574899,0.720952,-0.033827,0.912086,0.963504,0.916134,-0.142142,0.525144,0.455969,0.391758,1.132759,0.913141,0.661432,0.828015,-0.842106,-0.715277,0.957291,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.305411,3.559043,1.342819,0.474366,0.718616,0.015954,0.916223,0.976172,0.918881,-0.138557,0.53031,0.437192,0.389487,1.12493,0.922753,0.677062,0.812624,-0.827188,-0.715277,0.925919,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.393657,3.607497,1.384286,0.443037,0.727422,0.090625,0.925155,0.979798,0.927702,-0.135649,0.53869,0.437481,0.388002,1.116699,0.9135,0.698153,0.81276,-0.771245,-0.694661,0.8569,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.439722,3.68245,1.357389,0.346947,0.731462,0.130157,0.931678,0.983259,0.933227,-0.125817,0.542156,0.444068,0.390608,1.11494,0.915917,0.715058,0.790555,-0.700385,-0.625942,0.994938,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.358136,3.760432,1.187036,0.318891,0.734019,0.118444,0.942044,0.988822,0.939515,-0.124117,0.54781,0.46943,0.397282,1.108908,0.950077,0.728274,0.837613,-0.644443,-0.564095,1.333757,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.271556,3.568128,1.034616,0.349518,0.73424,0.135282,0.950448,0.991994,0.947879,-0.122151,0.551562,0.487282,0.40192,1.103408,0.942575,0.740894,0.839024,-0.636984,-0.567531,1.402776,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.150565,3.353867,1.129879,0.231217,0.741152,0.136014,0.958804,1.000211,0.955662,-0.117276,0.562298,0.581857,0.406549,1.084419,0.928348,0.756994,0.829961,-0.569853,-0.546915,1.528265,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.145569,3.51513,0.975217,0.252259,0.748285,0.246557,0.972297,1.004599,0.966926,-0.111869,0.572057,0.687986,0.415009,1.067451,0.964023,0.774239,0.840711,-0.603418,-0.588146,1.434148,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.062319,3.378852,0.983062,0.320527,0.758227,0.358564,0.984602,1.012618,0.978861,-0.111767,0.582725,0.746511,0.424966,1.056885,0.952501,0.784926,0.834405,-0.59223,-0.591582,1.490618,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.167215,3.551471,0.88892,0.329412,0.761604,0.4347,0.992982,1.018414,0.987438,-0.102631,0.594891,0.787299,0.442324,1.049689,0.956765,0.78328,0.840405,-0.66682,-0.674046,1.314934,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.132804,3.64081,0.983062,0.309539,0.768769,0.514496,0.992982,1.022364,0.986858,-0.098166,0.607343,0.834268,0.448381,1.04582,0.967017,0.799385,0.838663,-0.655631,-0.684353,1.208269,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.151675,3.58327,0.920301,0.28312,0.770725,0.591363,0.999904,1.028746,0.991681,-0.091489,0.634602,0.85524,0.461677,1.042934,0.983542,0.798627,0.865831,-0.678008,-0.680917,1.220818,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.190525,3.471976,0.985304,0.268624,0.774892,0.633824,1.008261,1.033566,0.998365,-0.067033,0.665968,0.839584,0.485122,1.040204,1.005807,0.800812,0.890306,-0.88686,-0.818356,0.762784,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',3.22882,3.665794,0.864264,0.307201,0.781804,0.687997,1.014032,1.038197,1.002364,-0.066091,0.669367,0.828029,0.493058,1.038143,1.003105,0.822666,0.865432,-0.991285,-0.84928,0.57455,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',2.943548,3.312984,1.277816,0.235425,0.7884,0.751687,1.01583,1.048802,1.002425,-0.06435,0.674886,0.828087,0.505765,1.043502,1.027706,0.833979,0.876565,-1.03231,-0.81492,0.68749,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',2.890267,3.206989,0.900128,0.173936,0.792724,0.776578,1.020754,1.058367,1.008255,-0.053392,0.683585,0.809368,0.521391,1.047631,1.027288,0.840329,0.836475,-1.073334,-0.893947,0.593374,'\'(6.266667-10.533333]\''
'\'(27.8-inf)\'',2.800911,3.122194,0.855298,0.116656,0.798973,0.81611,1.021389,1.066772,1.009903,-0.056731,0.691595,0.817572,0.53506,1.041834,1.045907,0.843271,0.832111,-1.050957,-0.856151,0.580825,'\'(6.266667-10.533333]\''
