@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveRange-V-R1-560-weka.filters.unsupervised.attribute.Remove-V-R102,63,105,115,112,65,114,113,108,109,99,106,69,118,22,62,107,103,60,38,3,5,117,111,1,119'

@attribute CPIMEDSL numeric
@attribute M2SL numeric
@attribute CUSR0000SAS numeric
@attribute CES3000000008 numeric
@attribute DSERRG3M086SBEA numeric
@attribute BOGMBASE numeric
@attribute CES2000000008 numeric
@attribute CES0600000008 numeric
@attribute CUSR0000SA0L5 numeric
@attribute PCEPI numeric
@attribute CPIAUCSL numeric
@attribute CPIULFSL numeric
@attribute REALLN numeric
@attribute INVEST numeric
@attribute CLF16OV numeric
@attribute M1SL numeric
@attribute CUSR0000SA0L2 numeric
@attribute CUSR0000SAC numeric
@attribute BUSINVx numeric
@attribute SRVPRD numeric
@attribute DPCERA3M086SBEA numeric
@attribute RETAILx numeric
@attribute DTCTHFNM numeric
@attribute DNDGRG3M086SBEA numeric
@attribute RPI numeric
@attribute UNRATE {'\'(-inf-6.266667]\'','\'(6.266667-10.533333]\'','\'(10.533333-inf)\''}

@data
-1.120829,-0.885162,-1.224968,-1.332007,-1.25677,-0.666798,-1.343235,-1.306192,-1.315313,-1.370817,-1.301157,-1.301088,-0.921959,-0.848758,-1.658327,-0.471374,-1.337131,-1.441475,-1.194977,-1.593416,-1.3193,-1.067694,-1.006608,-1.430327,-1.345882,'\'(-inf-6.266667]\''
-1.120261,-0.88491,-1.224074,-1.33064,-1.25614,-0.667029,-1.343235,-1.306192,-1.315313,-1.370542,-1.301157,-1.301088,-0.921927,-0.848154,-1.648647,-0.471395,-1.337131,-1.441475,-1.194759,-1.593322,-1.316866,-1.067784,-1.006391,-1.429977,-1.345193,'\'(-inf-6.266667]\''
-1.120261,-0.884725,-1.224074,-1.33064,-1.255768,-0.666913,-1.342143,-1.304966,-1.314074,-1.369993,-1.299512,-1.301088,-0.92188,-0.846932,-1.656984,-0.471456,-1.335837,-1.439786,-1.194868,-1.592692,-1.314368,-1.066943,-1.006409,-1.428992,-1.34363,'\'(-inf-6.266667]\''
-1.119692,-0.884489,-1.223181,-1.332007,-1.255052,-0.666798,-1.342143,-1.306192,-1.314074,-1.368375,-1.299159,-1.301088,-0.921879,-0.846143,-1.639655,-0.471456,-1.334544,-1.438097,-1.1948,-1.593574,-1.316162,-1.06832,-1.006318,-1.426896,-1.345911,'\'(-inf-6.266667]\''
-1.119124,-0.884237,-1.223181,-1.33064,-1.254679,-0.667086,-1.339958,-1.306192,-1.312836,-1.368283,-1.298807,-1.299909,-0.921804,-0.84538,-1.641029,-0.471497,-1.33325,-1.436408,-1.196341,-1.592566,-1.322503,-1.069014,-1.005943,-1.426038,-1.348326,'\'(6.266667-10.533333]\''
-1.119124,-0.883951,-1.222287,-1.33064,-1.254708,-0.667491,-1.338866,-1.304966,-1.312836,-1.368192,-1.298454,-1.299909,-0.921766,-0.844659,-1.639405,-0.471415,-1.33325,-1.438097,-1.196736,-1.593164,-1.321222,-1.06894,-1.006289,-1.426197,-1.343617,'\'(6.266667-10.533333]\''
-1.118556,-0.883547,-1.222287,-1.33064,-1.25425,-0.667895,-1.338866,-1.303739,-1.312836,-1.367764,-1.298454,-1.29873,-0.921734,-0.844495,-1.640248,-0.471313,-1.33325,-1.438097,-1.197036,-1.594298,-1.319364,-1.069277,-1.006584,-1.425911,-1.341549,'\'(6.266667-10.533333]\''
-1.118556,-0.883244,-1.222287,-1.33064,-1.254135,-0.667895,-1.336681,-1.303739,-1.312836,-1.368039,-1.298454,-1.29873,-0.921667,-0.844891,-1.631412,-0.471251,-1.33325,-1.438097,-1.197759,-1.591716,-1.312991,-1.068283,-1.006947,-1.42715,-1.339362,'\'(6.266667-10.533333]\''
-1.117988,-0.882975,-1.221393,-1.327906,-1.253505,-0.667838,-1.334496,-1.302512,-1.312836,-1.368314,-1.298807,-1.299909,-0.921651,-0.844904,-1.645026,-0.47121,-1.33325,-1.438097,-1.197759,-1.592535,-1.312735,-1.069965,-1.007056,-1.429882,-1.338215,'\'(6.266667-10.533333]\''
-1.117988,-0.882588,-1.221393,-1.326539,-1.253133,-0.667838,-1.333404,-1.301285,-1.312836,-1.368039,-1.298454,-1.29873,-0.921615,-0.844529,-1.639249,-0.471087,-1.33325,-1.438097,-1.197664,-1.590394,-1.309564,-1.068562,-1.0071,-1.430422,-1.334062,'\'(6.266667-10.533333]\''
-1.117419,-0.882234,-1.221393,-1.325172,-1.252503,-0.667606,-1.331219,-1.300058,-1.312836,-1.367825,-1.298454,-1.297551,-0.921476,-0.843409,-1.625948,-0.471046,-1.33325,-1.438097,-1.197787,-1.587372,-1.308315,-1.067857,-1.006807,-1.431407,-1.328954,'\'(6.266667-10.533333]\''
-1.117419,-0.882016,-1.221393,-1.323805,-1.251987,-0.667433,-1.333404,-1.300058,-1.311597,-1.366788,-1.297514,-1.297551,-0.921385,-0.842971,-1.636626,-0.471046,-1.331956,-1.436408,-1.1975,-1.583469,-1.309884,-1.067931,-1.006725,-1.429532,-1.327399,'\'(6.266667-10.533333]\''
-1.116851,-0.881679,-1.220499,-1.322438,-1.25173,-0.667375,-1.332311,-1.298831,-1.311597,-1.366391,-1.297279,-1.297551,-0.92132,-0.842129,-1.636689,-0.470923,-1.331956,-1.436408,-1.196886,-1.580636,-1.308026,-1.066879,-1.006599,-1.429215,-1.327089,'\'(6.266667-10.533333]\''
-1.116283,-0.881359,-1.220499,-1.325172,-1.251014,-0.667202,-1.330126,-1.298831,-1.311597,-1.365841,-1.296809,-1.296372,-0.921266,-0.841164,-1.646587,-0.470862,-1.331956,-1.436408,-1.196341,-1.57796,-1.30508,-1.066711,-1.006701,-1.429691,-1.32642,'\'(6.266667-10.533333]\''
-1.116283,-0.88109,-1.219606,-1.321071,-1.250727,-0.666971,-1.330126,-1.296378,-1.311597,-1.365872,-1.296809,-1.296372,-0.921222,-0.840061,-1.638,-0.470801,-1.331956,-1.436408,-1.196109,-1.576103,-1.301781,-1.064971,-1.006578,-1.43039,-1.32102,'\'(6.266667-10.533333]\''
-1.116283,-0.880703,-1.219606,-1.321071,-1.250298,-0.666682,-1.326849,-1.295151,-1.311597,-1.365841,-1.296809,-1.296372,-0.921151,-0.840097,-1.641622,-0.470657,-1.331956,-1.438097,-1.195277,-1.573018,-1.296625,-1.064277,-1.006438,-1.430358,-1.31607,'\'(-inf-6.266667]\''
-1.115714,-0.88035,-1.218712,-1.319703,-1.249925,-0.66622,-1.325757,-1.295151,-1.311597,-1.365719,-1.296456,-1.296372,-0.920995,-0.839776,-1.650958,-0.470575,-1.331956,-1.436408,-1.195141,-1.570626,-1.292909,-1.06424,-1.005729,-1.431025,-1.312716,'\'(-inf-6.266667]\''
-1.115714,-0.880013,-1.218712,-1.318336,-1.249066,-0.666624,-1.32248,-1.293924,-1.311597,-1.364803,-1.296104,-1.295193,-0.92086,-0.839375,-1.647461,-0.470575,-1.330663,-1.436408,-1.19435,-1.568611,-1.292749,-1.063389,-1.005896,-1.430072,-1.313277,'\'(-inf-6.266667]\''
-1.115146,-0.879576,-1.218712,-1.316969,-1.248522,-0.667086,-1.331219,-1.293924,-1.309119,-1.363521,-1.295281,-1.295193,-0.920746,-0.839587,-1.640592,-0.470473,-1.329369,-1.434719,-1.193559,-1.564708,-1.293006,-1.063378,-1.005747,-1.427499,-1.310898,'\'(-inf-6.266667]\''
-1.114578,-0.879071,-1.217818,-1.316969,-1.247949,-0.666971,-1.323572,-1.292697,-1.309119,-1.36288,-1.294576,-1.294014,-0.920615,-0.840048,-1.640436,-0.470411,-1.328075,-1.434719,-1.192672,-1.561969,-1.288554,-1.061696,-1.005536,-1.427245,-1.307022,'\'(-inf-6.266667]\''
-1.114578,-0.878667,-1.217818,-1.316969,-1.247663,-0.66674,-1.320295,-1.29147,-1.309119,-1.362331,-1.294105,-1.294014,-0.920447,-0.839884,-1.644682,-0.470329,-1.328075,-1.43303,-1.192468,-1.556366,-1.286664,-1.061144,-1.004977,-1.425816,-1.304117,'\'(-inf-6.266667]\''
-1.114009,-0.878331,-1.216924,-1.315602,-1.246918,-0.666682,-1.323572,-1.29147,-1.30788,-1.362026,-1.293753,-1.292835,-0.920258,-0.839895,-1.636158,-0.470248,-1.328075,-1.43303,-1.191445,-1.55539,-1.282468,-1.06045,-1.004383,-1.426642,-1.303306,'\'(-inf-6.266667]\''
-1.114009,-0.878028,-1.216924,-1.316969,-1.246345,-0.666451,-1.32248,-1.29147,-1.309119,-1.361721,-1.294105,-1.292835,-0.920015,-0.839402,-1.637313,-0.470288,-1.328075,-1.43303,-1.190763,-1.552778,-1.285223,-1.061769,-1.003621,-1.42769,-1.302518,'\'(-inf-6.266667]\''
-1.113441,-0.877775,-1.216031,-1.315602,-1.24603,-0.66622,-1.319202,-1.290244,-1.309119,-1.361995,-1.293988,-1.292835,-0.919824,-0.839158,-1.643933,-0.470309,-1.329369,-1.434719,-1.190245,-1.551519,-1.283461,-1.060161,-1.002962,-1.429501,-1.299747,'\'(-inf-6.266667]\''
-1.113441,-0.877439,-1.216031,-1.314235,-1.245744,-0.666278,-1.319202,-1.289017,-1.30788,-1.361293,-1.293283,-1.292835,-0.919661,-0.839095,-1.622732,-0.470288,-1.328075,-1.43303,-1.18959,-1.548717,-1.281924,-1.059519,-1.002283,-1.427881,-1.298822,'\'(-inf-6.266667]\''
-1.113441,-0.877085,-1.216031,-1.314235,-1.245515,-0.66622,-1.31811,-1.289017,-1.306642,-1.358912,-1.291637,-1.291656,-0.919466,-0.838883,-1.617362,-0.47035,-1.325488,-1.429652,-1.188608,-1.54601,-1.275775,-1.059209,-1.002069,-1.420987,-1.298552,'\'(-inf-6.266667]\''
-1.112873,-0.876698,-1.216031,-1.312868,-1.245143,-0.666047,-1.31811,-1.289017,-1.306642,-1.359401,-1.292107,-1.291656,-0.919263,-0.837867,-1.62473,-0.470268,-1.325488,-1.431341,-1.187899,-1.543901,-1.278529,-1.057574,-1.001703,-1.422512,-1.295509,'\'(-inf-6.266667]\''
-1.112873,-0.876261,-1.215137,-1.312868,-1.244656,-0.66622,-1.315925,-1.28779,-1.306642,-1.359065,-1.292107,-1.291656,-0.919056,-0.837879,-1.626167,-0.470145,-1.325488,-1.429652,-1.187844,-1.542138,-1.271163,-1.057022,-1.001106,-1.422607,-1.293375,'\'(-inf-6.266667]\''
-1.112304,-0.875773,-1.215137,-1.312868,-1.244312,-0.665642,-1.31374,-1.28779,-1.306642,-1.359248,-1.292107,-1.291656,-0.918875,-0.837177,-1.626697,-0.470043,-1.325488,-1.431341,-1.187694,-1.541729,-1.268024,-1.057043,-1.000339,-1.424005,-1.29065,'\'(-inf-6.266667]\''
-1.111736,-0.875352,-1.214243,-1.311501,-1.243453,-0.666047,-1.314833,-1.286563,-1.305403,-1.358058,-1.291402,-1.291656,-0.918654,-0.836768,-1.61758,-0.46994,-1.325488,-1.429652,-1.187449,-1.540186,-1.268184,-1.056596,-1.000175,-1.421845,-1.287053,'\'(-inf-6.266667]\''
-1.111736,-0.874898,-1.214243,-1.310134,-1.243166,-0.666393,-1.31374,-1.285336,-1.305403,-1.357539,-1.290932,-1.291656,-0.918435,-0.83714,-1.613958,-0.469817,-1.324194,-1.429652,-1.187012,-1.535653,-1.270298,-1.057401,-1.000067,-1.421368,-1.29015,'\'(-inf-6.266667]\''
-1.111736,-0.874427,-1.214243,-1.308767,-1.242995,-0.666278,-1.311556,-1.284109,-1.305403,-1.357936,-1.29058,-1.290477,-0.918274,-0.837456,-1.608931,-0.469756,-1.324194,-1.429652,-1.186712,-1.532978,-1.267447,-1.056554,-0.999876,-1.423274,-1.287508,'\'(-inf-6.266667]\''
-1.111736,-0.873989,-1.213349,-1.308767,-1.242737,-0.666104,-1.315925,-1.284109,-1.305403,-1.357966,-1.290932,-1.290477,-0.918072,-0.837581,-1.600376,-0.469654,-1.325488,-1.429652,-1.186576,-1.528256,-1.265398,-1.056092,-0.99927,-1.424069,-1.285898,'\'(-inf-6.266667]\''
-1.111168,-0.873518,-1.213349,-1.3074,-1.24205,-0.665989,-1.312648,-1.282883,-1.305403,-1.357172,-1.29058,-1.290477,-0.917798,-0.837738,-1.596161,-0.46951,-1.324194,-1.429652,-1.185962,-1.528886,-1.265045,-1.05677,-0.998606,-1.423274,-1.283379,'\'(-inf-6.266667]\''
-1.110599,-0.873131,-1.212456,-1.306032,-1.24182,-0.6657,-1.310463,-1.281656,-1.304164,-1.356104,-1.289404,-1.289298,-0.917425,-0.837699,-1.602593,-0.46951,-1.322901,-1.427963,-1.185321,-1.526651,-1.259569,-1.055976,-0.997742,-1.420924,-1.280593,'\'(-inf-6.266667]\''
-1.110599,-0.872677,-1.212456,-1.304665,-1.241448,-0.665353,-1.309371,-1.280429,-1.302925,-1.355127,-1.288464,-1.288119,-0.917148,-0.837565,-1.592289,-0.469326,-1.321607,-1.426274,-1.184735,-1.524038,-1.256622,-1.05473,-0.996978,-1.418446,-1.280259,'\'(-inf-6.266667]\''
-1.110031,-0.872256,-1.211562,-1.306032,-1.241133,-0.665469,-1.307186,-1.280429,-1.302925,-1.354456,-1.287759,-1.288119,-0.91694,-0.838376,-1.597597,-0.469223,-1.320313,-1.424585,-1.184067,-1.520827,-1.254572,-1.054867,-0.996237,-1.416953,-1.27818,'\'(-inf-6.266667]\''
-1.110031,-0.871852,-1.211562,-1.303298,-1.240732,-0.665296,-1.307186,-1.279202,-1.302925,-1.354547,-1.288111,-1.288119,-0.916732,-0.837996,-1.586825,-0.469182,-1.321607,-1.426274,-1.183303,-1.516987,-1.255661,-1.055135,-0.995895,-1.419685,-1.274142,'\'(-inf-6.266667]\''
-1.110031,-0.871465,-1.211562,-1.303298,-1.239902,-0.66518,-1.306094,-1.279202,-1.302925,-1.353601,-1.287759,-1.28694,-0.916533,-0.83761,-1.582142,-0.46906,-1.321607,-1.426274,-1.182266,-1.511604,-1.255982,-1.053253,-0.995318,-1.418573,-1.270811,'\'(-inf-6.266667]\''
-1.109463,-0.870927,-1.210668,-1.301931,-1.239386,-0.664776,-1.307186,-1.277975,-1.301686,-1.352899,-1.287406,-1.28694,-0.916327,-0.837568,-1.577864,-0.468855,-1.320313,-1.424585,-1.181721,-1.510565,-1.25169,-1.054493,-0.994808,-1.417207,-1.269563,'\'(-inf-6.266667]\''
-1.109463,-0.870641,-1.209774,-1.300564,-1.239071,-0.66414,-1.300632,-1.276748,-1.300447,-1.352167,-1.286231,-1.285761,-0.916161,-0.8368,-1.585046,-0.468916,-1.31902,-1.422896,-1.181666,-1.508393,-1.244772,-1.052101,-0.993874,-1.415619,-1.264787,'\'(-inf-6.266667]\''
-1.108895,-0.870304,-1.209774,-1.300564,-1.238613,-0.664544,-1.301724,-1.276748,-1.300447,-1.351129,-1.285526,-1.285761,-0.915918,-0.837038,-1.5798,-0.468834,-1.31902,-1.422896,-1.18093,-1.501688,-1.242882,-1.05268,-0.993781,-1.413586,-1.262593,'\'(-inf-6.266667]\''
